epsilon,lambda_yr
0.0,-0.13185212994094375
0.0025210084033613443,-0.13188348286265283
0.0050420168067226885,-0.13188573979747406
0.007563025210084033,-0.13188613048217587
0.010084033613445377,-0.1318869335591887
0.012605042016806721,-0.13188845754492726
0.015126050420168066,-0.1318936886697913
0.01764705882352941,-0.13189937224311704
0.020168067226890754,-0.13190099975300285
0.022689075630252097,-0.13190568472071834
0.025210084033613443,-0.13191286881177466
0.02773109243697479,-0.13192267941477137
0.03025210084033613,-0.1319350874494339
0.032773109243697474,-0.1319496625510032
0.03529411764705882,-0.13196771953868178
0.037815126050420166,-0.13198885770821203
0.04033613445378151,-0.13201356094006664
0.04285714285714285,-0.1320419523080423
0.04537815126050419,-0.1320744479709353
0.04789915966386554,-0.1321112154433105
0.050420168067226885,-0.1321530426784282
0.05294117647058823,-0.13220003811097464
0.05546218487394958,-0.13225278553808345
0.05798319327731092,-0.13231130548050304
0.06050420168067226,-0.13237624571951373
0.06302521008403361,-0.13244805754574737
0.06554621848739495,-0.13252714409129254
0.0680672268907563,-0.13261403968119448
0.07058823529411765,-0.13270924472079876
0.07310924369747898,-0.1328134402730273
0.07563025210084033,-0.132927343097886
0.07815126050420167,-0.13305072563176013
0.08067226890756302,-0.13318488181882102
0.08319327731092437,-0.13333024618470699
0.0857142857142857,-0.1334873817564003
0.08823529411764705,-0.13365753342241943
0.09075630252100839,-0.13384074219059372
0.09327731092436974,-0.13403813284709465
0.09579831932773109,-0.13425049029075992
0.09831932773109242,-0.13447827069868765
0.10084033613445377,-0.13472252196729573
0.10336134453781512,-0.1349853903490305
0.10588235294117646,-0.13526698956572575
0.1084033613445378,-0.13556856993288507
0.11092436974789915,-0.13589178671207353
0.11344537815126049,-0.1362345190736691
0.11596638655462184,-0.13660388500742357
0.11848739495798317,-0.1369985252155044
0.12100840336134452,-0.13742100337700536
0.12352941176470587,-0.13787319463255132
0.12605042016806722,-0.13835739916318582
0.12857142857142856,-0.1388761471095939
0.1310924369747899,-0.13943088826022657
0.13361344537815126,-0.14258578572025343
0.1361344537815126,-0.14066102660654933
0.13865546218487393,-0.141343447665354
0.1411764705882353,-0.142076971034296
0.14369747899159663,-0.14286682405495393
0.14621848739495796,-0.1437151188892058
0.1487394957983193,-0.14463269639414578
0.15126050420168066,-0.1456239553347547
0.153781512605042,-0.14669784304548072
0.15630252100840333,-0.14786511168356709
0.1588235294117647,-0.1491377180296854
0.16134453781512603,-0.15053097482091712
0.16386554621848737,-0.1520600405115455
0.16638655462184873,-0.15375117864869728
0.16890756302521007,-0.155629544125245
0.1714285714285714,-0.1577274510313787
0.17394957983193277,-0.16008618475339947
0.1764705882352941,-0.1627566913012814
0.17899159663865544,-0.1657804795028798
0.18151260504201677,-0.16918860602135147
0.18403361344537814,-0.17289183602966374
0.18655462184873947,-0.17647538052799863
0.1890756302521008,-0.17883249337491824
0.19159663865546217,-0.17857470398443656
0.1941176470588235,-0.17580087307608397
0.19663865546218484,-0.171938136851073
0.1991596638655462,-0.16801561568554008
0.20168067226890754,-0.16440392686366728
0.20420168067226888,-0.16118399783013096
0.20672268907563024,-0.15830967548894245
0.20924369747899157,-0.15574656120958544
0.2117647058823529,-0.13290368163120722
0.21428571428571427,-0.15667070050522314
0.2168067226890756,-0.13375344399785893
0.21932773109243694,-0.1455425728927353
0.2218487394957983,-0.1372054559938246
0.22436974789915964,-0.1646955663606905
0.22689075630252098,-0.1364589495804784
0.22941176470588232,-0.14204454315396792
0.23193277310924368,-0.1520315387150819
0.23445378151260501,-0.1397727214029594
0.23697478991596635,-0.13875143869910878
0.2394957983193277,-0.1377957974528208
0.24201680672268905,-0.13690324275012544
0.24453781512605038,-0.1439404199772993
0.24705882352941175,-0.1352865966462984
0.24957983193277308,-0.14279197228670518
0.25210084033613445,-0.1338770608060956
0.2546218487394958,-0.1476416426733656
0.2571428571428571,-0.17695135386876182
0.25966386554621845,-0.1580005819043927
0.2621848739495798,-0.13751182243512525
0.2647058823529411,-0.13112553835977991
0.2672268907563025,-0.13090889976386946
0.26974789915966385,-0.14056193826572277
0.2722689075630252,-0.13173820521899926
0.2747899159663865,-0.13146705501947714
0.27731092436974786,-0.12933344585766185
0.2798319327731092,-0.15283933334207153
0.2823529411764706,-0.12437204767262022
0.2848739495798319,-0.138696489321741
0.28739495798319326,-0.12852491552863518
0.2899159663865546,-0.1284068797122702
0.2924369747899159,-0.14202864835252435
0.29495798319327726,-0.16094191401573177
0.2974789915966386,-0.14025683606897607
0.3,-0.12827128803852872
